Descricao,Tamanho,Comprimento LCS,Tempo DP (s),Razao Tempo DP,Mem DP (MB),Razao Mem DP,Tempo Rec (s),Mem Rec Estimada (MB),Chamadas Rec,Razao Crescimento Rec
Tamanho 1,1,0,3.4699973184615374e-05,0,0.00124359130859375,0,9.700015652924776e-06,0.0005035400390625,3,0
Tamanho 2,2,0,2.940004924312234e-05,0.8472643216957062,0.0013275146484375,1.0674846625766872,1.5099998563528061e-05,0.00079345703125,11,3.6666666666666665
Tamanho 3,3,0,3.44999716617167e-05,1.1734664583865417,0.00141143798828125,1.0632183908045978,3.1400006264448166e-05,0.001129150390625,39,3.5454545454545454
Tamanho 4,4,1,5.670002428814769e-05,1.643480314827781,0.002044677734375,1.4486486486486487,7.130001904442906e-05,0.00146484375,102,2.6153846153846154
Tamanho 5,5,1,5.7299970649182796e-05,1.0105810600359921,0.00215911865234375,1.0559701492537314,0.00032220000866800547,0.0018310546875,428,4.196078431372549
Tamanho 6,6,1,7.309997454285622e-05,1.275741919492567,0.0022735595703125,1.0530035335689045,0.0027859999681822956,0.002166748046875,1692,3.953271028037383
Tamanho 7,7,3,0.00011860002996399999,1.6224359954389385,0.002429962158203125,1.0687919463087248,0.002462600008584559,0.0026674270629882812,2529,1.4946808510638299
Tamanho 8,8,0,0.00012450001668184996,1.0497469243442927,0.00274658203125,1.130298273155416,0.02770759997656569,0.002838134765625,25739,10.177540529853697
Tamanho 9,9,1,0.00015759997768327594,1.2658631049505025,0.00328826904296875,1.1972222222222222,0.059157999989110976,0.003173828125,54678,2.1243249543494307
Tamanho 10,10,1,0.0001928000128827989,1.223350508781565,0.0034637451171875,1.0533642691415313,0.35040950000984594,0.003509521484375,324394,5.932806613263104
Tamanho 11,11,3,0.00019670004257932305,1.0202283684436002,0.003681182861328125,1.0627753303964758,0.8606897999998182,0.004096031188964844,797764,2.4592440057460987
Tamanho 12,12,1,0.00019290001364424825,0.9806810975470818,0.003814697265625,1.0362694300518134,5.344024400052149,0.004180908203125,4821621,6.0439190036151045
Tamanho 13,13,1,0.00025589996948838234,1.3265938381959912,0.00399017333984375,1.046,20.467024000012316,0.0045166015625,13104756,2.717914991659444
Tamanho 14,14,4,0.0002702000201679766,1.0558814083025652,0.004208564758300781,1.0547323135755258,56.65074960002676,0.0053577423095703125,38424989,2.9321407434064395
Tamanho 15,15,3,0.00030150002567097545,1.115840130150769,0.004383087158203125,1.0414683888511216,230.03307669999776,0.005478858947753906,143664812,3.7388380774812973
Tamanho 16,16,4,0.00034069997491315007,1.1300164043267884,0.005658149719238281,1.290905134899913,810.8192876999965,0.005982398986816406,527495057,3.6717067294112353
Tamanho 17,17,5,0.00034909998066723347,1.0246551405124837,0.0058956146240234375,1.041968649924153,3564.481519999972,0.006285667419433594,2249205464,4.263936569930739
Tamanho 18,18,8,0.001324900018516928,3.795187888537409,0.006134986877441406,1.040601747007441,N/A,N/A,N/A,N/A
Tamanho 19,19,4,0.002801000024192035,2.114121809227107,0.006367683410644531,1.03792942639515,N/A,N/A,N/A,N/A
Tamanho 20,20,4,0.0015423999866470695,0.5506604688773552,0.006604194641113281,1.0371424292346862,N/A,N/A,N/A,N/A
Tamanho 21,21,5,0.002070799993816763,1.3425829951660921,0.0068416595458984375,1.035956678700361,N/A,N/A,N/A,N/A
Tamanho 22,22,5,0.0038568999734707177,1.8625168944307036,0.0070781707763671875,1.0345692779481461,N/A,N/A,N/A,N/A
Tamanho 23,23,8,0.004466300015337765,1.1580025528426305,0.007317543029785156,1.0338183777957424,N/A,N/A,N/A,N/A
Tamanho 24,24,8,0.004360300023108721,0.9762667102825541,0.009140968322753906,1.2491854554932882,N/A,N/A,N/A,N/A
Tamanho 25,25,7,0.004674099967814982,1.0719675121076953,0.00943756103515625,1.0324465310380804,N/A,N/A,N/A,N/A
Tamanho 26,26,6,0.00316169997677207,0.6764296866868428,0.009734153747558594,1.03142683912692,N/A,N/A,N/A,N/A
Tamanho 27,27,9,0.005572599999140948,1.7625328273020644,0.010034561157226562,1.0308611737043205,N/A,N/A,N/A,N/A
Tamanho 28,28,7,0.0031553999870084226,0.5662347894151469,0.0103302001953125,1.0294620794525755,N/A,N/A,N/A,N/A
Tamanho 29,29,6,0.006787699996493757,2.1511377398873135,0.010626792907714844,1.028711225997046,N/A,N/A,N/A,N/A
Tamanho 30,30,6,0.006500300019979477,0.9576587096273055,0.010924339294433594,1.0279996410302432,N/A,N/A,N/A,N/A
Tamanho 31,31,8,0.004693599999882281,0.7220589796556959,0.011223793029785156,1.027411610650371,N/A,N/A,N/A,N/A
Tamanho 32,32,10,0.007744100003037602,1.6499275616225988,0.013598442077636719,1.2115727759367831,N/A,N/A,N/A,N/A
Tamanho 33,33,12,0.007838500023353845,1.01218992785207,0.013958930969238281,1.0265095729013254,N/A,N/A,N/A,N/A
Tamanho 34,34,10,0.006412999995518476,0.8181412229905891,0.014315605163574219,1.0255516840882695,N/A,N/A,N/A,N/A
Tamanho 35,35,6,0.007113100029528141,1.1091688811007185,0.014670372009277344,1.024781826660449,N/A,N/A,N/A,N/A
Tamanho 36,36,9,0.009797000035177916,1.377317905625997,0.015031814575195312,1.0246375869466293,N/A,N/A,N/A,N/A
Tamanho 37,37,13,0.010399000020697713,1.061447380152925,0.015394210815429688,1.0241086156579113,N/A,N/A,N/A,N/A
Tamanho 38,38,11,0.016759300022386014,1.61162611684095,0.015750885009765625,1.0231693718250527,N/A,N/A,N/A,N/A
Tamanho 39,39,15,0.011815200035925955,0.7049936465212722,0.01611328125,1.0230079922499395,N/A,N/A,N/A,N/A
Tamanho 40,40,10,0.010347299976274371,0.8757617259810917,0.02031230926513672,1.2605942234848484,N/A,N/A,N/A,N/A
Tamanho 41,41,10,0.013050300010945648,1.261227570561312,0.02076244354248047,1.0221606648199446,N/A,N/A,N/A,N/A
Tamanho 42,42,11,0.011171399964950979,0.8560262948423574,0.021213531494140625,1.0217261494648844,N/A,N/A,N/A,N/A
Tamanho 43,43,10,0.01226630003657192,1.0980092087881617,0.02166271209716797,1.021174249235749,N/A,N/A,N/A,N/A
Tamanho 44,44,12,0.00903940002899617,0.7369296366504355,0.02211475372314453,1.0208672683248954,N/A,N/A,N/A,N/A
Tamanho 45,45,12,0.011126499972306192,1.2308892112988827,0.02256488800048828,1.0203544784164906,N/A,N/A,N/A,N/A
Tamanho 46,46,14,0.01440119999460876,1.2943153759451114,0.023016929626464844,1.0200329656396603,N/A,N/A,N/A,N/A
Tamanho 47,47,12,0.012242000026162714,0.8500680520196674,0.02346515655517578,1.0194737932463227,N/A,N/A,N/A,N/A
Tamanho 48,48,11,0.015400800039060414,1.2580297342057623,0.023914337158203125,1.0191424507213982,N/A,N/A,N/A,N/A
Tamanho 49,49,14,0.009654599998611957,0.6268895105530488,0.024367332458496094,1.018942415058223,N/A,N/A,N/A,N/A
Tamanho 50,50,15,0.017105699982494116,1.7717668246176335,0.02481842041015625,1.01851199561661,N/A,N/A,N/A,N/A
Tamanho 51,51,13,0.01909169997088611,1.1161016497672973,0.025266647338867188,1.0180602520750077,N/A,N/A,N/A,N/A
Tamanho 52,52,13,0.019714599999133497,1.032626745088037,0.030660629272460938,1.213482297878765,N/A,N/A,N/A,N/A
Tamanho 53,53,15,0.020761299994774163,1.053092631637805,0.0312042236328125,1.0177293934681182,N/A,N/A,N/A,N/A
Tamanho 54,54,15,0.020645499986130744,0.9944223141772159,0.03174591064453125,1.017359413202934,N/A,N/A,N/A,N/A
Tamanho 55,55,18,0.02160179999191314,1.0463200216233475,0.03229045867919922,1.0171533285267964,N/A,N/A,N/A,N/A
Tamanho 56,56,17,0.01707549998536706,0.790466534814666,0.03283119201660156,1.0167459168906348,N/A,N/A,N/A,N/A
Tamanho 57,57,18,0.022928200021851808,1.3427542409592839,0.03337383270263672,1.0165282054261313,N/A,N/A,N/A,N/A
Tamanho 58,58,12,0.02442709996830672,1.0653736422844524,0.03390979766845703,1.0160594370624374,N/A,N/A,N/A,N/A
Tamanho 59,59,17,0.0233072999981232,0.9541574738042411,0.03445625305175781,1.0161149703293304,N/A,N/A,N/A,N/A
Tamanho 60,60,14,0.021762099990155548,0.9337031741946911,0.034995079040527344,1.0156379739828398,N/A,N/A,N/A,N/A
Tamanho 61,61,17,0.01728170004207641,0.794119136016013,0.03553962707519531,1.0155607030930645,N/A,N/A,N/A,N/A
Tamanho 62,62,15,0.01581599999917671,0.9151877396708019,0.03607940673828125,1.0151881071217732,N/A,N/A,N/A,N/A
Tamanho 63,63,19,0.020742699969559908,1.3115010097774187,0.036624908447265625,1.0151194755762318,N/A,N/A,N/A,N/A
Tamanho 64,64,19,0.019079099991358817,0.9197982914161397,0.043209075927734375,1.1797729403187167,N/A,N/A,N/A,N/A
Tamanho 65,65,20,0.019139999989420176,1.0031919743640392,0.04384326934814453,1.014677319678644,N/A,N/A,N/A,N/A
Tamanho 66,66,19,0.02495449996786192,1.303787877829455,0.044475555419921875,1.014421508276597,N/A,N/A,N/A,N/A
Tamanho 67,67,20,0.027320300054270774,1.0948045478553243,0.04510974884033203,1.0142593704434342,N/A,N/A,N/A,N/A
Tamanho 68,68,18,0.03304599999682978,1.2095767590833597,0.04574108123779297,1.013995475782753,N/A,N/A,N/A,N/A
Tamanho 69,69,17,0.02639309997903183,0.7986776003620353,0.04637336730957031,1.0138231553489148,N/A,N/A,N/A,N/A
Tamanho 70,70,20,0.02484359999652952,0.9412914745242763,0.04700946807861328,1.0137169415539011,N/A,N/A,N/A,N/A
Tamanho 71,71,21,0.03524280001875013,1.4185866792120831,0.04764366149902344,1.0134907593370255,N/A,N/A,N/A,N/A
Tamanho 72,72,21,0.029330699995625764,0.8322465859699295,0.04827690124511719,1.0132911645782456,N/A,N/A,N/A,N/A
Tamanho 73,73,20,0.03271210001548752,1.1152853501745967,0.04890918731689453,1.0130970724191064,N/A,N/A,N/A,N/A
Tamanho 74,74,20,0.025799499999266118,0.7886836976853018,0.04954242706298828,1.012947255532807,N/A,N/A,N/A,N/A
Tamanho 75,75,24,0.03648940002312884,1.4143452401855385,0.050179481506347656,1.0128587653275327,N/A,N/A,N/A,N/A
Tamanho 76,76,27,0.024089000013191253,0.6601643216364868,0.060337066650390625,1.2024250717448732,N/A,N/A,N/A,N/A
Tamanho 77,77,25,0.021719899959862232,0.9016522042412848,0.06109046936035156,1.0124865650881962,N/A,N/A,N/A,N/A
Tamanho 78,78,25,0.02402279997477308,1.1060271925361784,0.06184577941894531,1.0123637953104998,N/A,N/A,N/A,N/A
Tamanho 79,79,20,0.02850620000390336,1.1866310352597702,0.06259632110595703,1.012135697764071,N/A,N/A,N/A,N/A
Tamanho 80,80,24,0.03223849995993078,1.130929410286757,0.0633554458618164,1.0121273062449534,N/A,N/A,N/A,N/A
Tamanho 81,81,25,0.028308500011917204,0.8780960667246253,0.06411170959472656,1.0119368386193608,N/A,N/A,N/A,N/A
Tamanho 82,82,21,0.0316787000047043,1.119052581075236,0.06486320495605469,1.0117216553119328,N/A,N/A,N/A,N/A
Tamanho 83,83,25,0.03221309999935329,1.0168693789382024,0.06562232971191406,1.0117034728144205,N/A,N/A,N/A,N/A
Tamanho 84,84,24,0.03280770004494116,1.0184583304804506,0.0663766860961914,1.0114954221770092,N/A,N/A,N/A,N/A
Tamanho 85,85,24,0.026225199981126934,0.7993611239191629,0.06713199615478516,1.0113791468513385,N/A,N/A,N/A,N/A
Tamanho 86,86,25,0.028636000002734363,1.0919268498750199,0.06788825988769531,1.0112653246771697,N/A,N/A,N/A,N/A
Tamanho 87,87,23,0.031087299983482808,1.0856020387105174,0.06864166259765625,1.0110976877475908,N/A,N/A,N/A,N/A
Tamanho 88,88,24,0.025992200011387467,0.8361034900167448,0.0693979263305664,1.0110175614093586,N/A,N/A,N/A,N/A
Tamanho 89,89,27,0.04311740002594888,1.6588591964919737,0.07015609741210938,1.010924981791697,N/A,N/A,N/A,N/A
Tamanho 90,90,24,0.039829400018788874,0.9237430827187811,0.0709085464477539,1.0107253547931052,N/A,N/A,N/A,N/A
Tamanho 91,91,27,0.04745130002265796,1.1913636660425109,0.07166671752929688,1.0106922383763937,N/A,N/A,N/A,N/A
Tamanho 92,92,26,0.035512899979949,0.7484073136666775,0.08389568328857422,1.1706366104221004,N/A,N/A,N/A,N/A
Tamanho 93,93,29,0.05927640001755208,1.669151211278725,0.08477592468261719,1.010492093985518,N/A,N/A,N/A,N/A
Tamanho 94,94,26,0.0497614000341855,0.839480805505241,0.08565044403076172,1.0103156568497311,N/A,N/A,N/A,N/A
Tamanho 95,95,27,0.033542799996212125,0.6740726742649646,0.08652877807617188,1.0102548685573036,N/A,N/A,N/A,N/A
Tamanho 96,96,30,0.042223500029649585,1.2587947349183057,0.08740901947021484,1.010172816646828,N/A,N/A,N/A,N/A
Tamanho 97,97,28,0.035045099968556315,0.829990406857495,0.08828449249267578,1.0100158201952976,N/A,N/A,N/A,N/A
Tamanho 98,98,28,0.04857839999021962,1.3861681100583494,0.08916187286376953,1.0099381029025742,N/A,N/A,N/A,N/A
Tamanho 99,99,31,0.04191129998071119,0.8627558748157467,0.0900421142578125,1.0098723968639363,N/A,N/A,N/A,N/A
Tamanho 100,100,31,0.06497710000257939,1.550347997616007,0.09091949462890625,1.0097441111675987,N/A,N/A,N/A,N/A
