Descricao,Tamanho,Comprimento LCS,Tempo DP (s),Razao Tempo DP,Mem DP (MB),Razao Mem DP,Tempo Rec (s),Mem Rec Estimada (MB),Chamadas Rec,Razao Crescimento Rec
Tamanho 1,1,0,3.489997470751405e-05,0,0.00124359130859375,0,9.100011084228754e-06,0.0005035400390625,3,0
Tamanho 2,2,0,2.8300040867179632e-05,0.8108900107909409,0.0013275146484375,1.0674846625766872,1.5900004655122757e-05,0.00079345703125,11,3.6666666666666665
Tamanho 3,3,0,4.169996827840805e-05,1.4734949844814076,0.00141143798828125,1.0632183908045978,5.360000068321824e-05,0.001129150390625,39,3.5454545454545454
Tamanho 4,4,1,5.859998054802418e-05,1.4052763819095477,0.002044677734375,1.4486486486486487,7.790001109242439e-05,0.00146484375,102,2.6153846153846154
Tamanho 5,5,1,6.049999501556158e-05,1.0324234658402367,0.00215911865234375,1.0559701492537314,0.0004647999885492027,0.0018310546875,428,4.196078431372549
Tamanho 6,6,1,0.00012699997751042247,2.099173354935914,0.0022735595703125,1.0530035335689045,0.0021975000272504985,0.002166748046875,1692,3.953271028037383
Tamanho 7,7,3,0.00015680002979934216,1.2346461225670224,0.002429962158203125,1.0687919463087248,0.002482699987012893,0.0026674270629882812,2529,1.4946808510638299
Tamanho 8,8,0,0.0001145999995060265,0.7308672048894426,0.00274658203125,1.130298273155416,0.029179500008467585,0.002838134765625,25739,10.177540529853697
Tamanho 9,9,1,0.00013550004223361611,1.182373846576592,0.00328826904296875,1.1972222222222222,0.05776150000747293,0.003173828125,54678,2.1243249543494307
Tamanho 10,10,1,0.00014840002404525876,1.0952027881246098,0.0034637451171875,1.0533642691415313,0.334913200000301,0.003509521484375,324394,5.932806613263104
Tamanho 11,11,3,0.00018659996567294002,1.2574119638688948,0.003681182861328125,1.0627753303964758,N/A,N/A,N/A,N/A
Tamanho 12,12,1,0.0002791000297293067,1.4957131890286337,0.003814697265625,1.0362694300518134,N/A,N/A,N/A,N/A
Tamanho 13,13,1,0.00022990000434219837,0.8237190249143778,0.00399017333984375,1.046,N/A,N/A,N/A,N/A
Tamanho 14,14,4,0.00026290002278983593,1.1435407473873647,0.004208564758300781,1.0547323135755258,N/A,N/A,N/A,N/A
Tamanho 15,15,3,0.0003388000186532736,1.2887028881093427,0.004383087158203125,1.0414683888511216,N/A,N/A,N/A,N/A
Tamanho 16,16,4,0.00033899996196851134,1.0005901514292488,0.005658149719238281,1.290905134899913,N/A,N/A,N/A,N/A
Tamanho 17,17,5,0.0010204000282101333,3.010029919427882,0.0058956146240234375,1.041968649924153,N/A,N/A,N/A,N/A
Tamanho 18,18,8,0.000742900010664016,0.7280478147056939,0.006134986877441406,1.040601747007441,N/A,N/A,N/A,N/A
Tamanho 19,19,4,0.00045029999455437064,0.6061380913857912,0.006367683410644531,1.03792942639515,N/A,N/A,N/A,N/A
Tamanho 20,20,4,0.0005073000211268663,1.1265823390224654,0.006604194641113281,1.0371424292346862,N/A,N/A,N/A,N/A
Tamanho 21,21,5,0.0004982000100426376,0.9820618752114086,0.0068416595458984375,1.035956678700361,N/A,N/A,N/A,N/A
Tamanho 22,22,5,0.0005825000116601586,1.169209152786461,0.0070781707763671875,1.0345692779481461,N/A,N/A,N/A,N/A
Tamanho 23,23,8,0.0005941999843344092,1.0200857895966473,0.007317543029785156,1.0338183777957424,N/A,N/A,N/A,N/A
Tamanho 24,24,8,0.0007674000225961208,1.2914844207808605,0.009140968322753906,1.2491854554932882,N/A,N/A,N/A,N/A
Tamanho 25,25,7,0.0007425000076182187,0.9675527570436274,0.00943756103515625,1.0324465310380804,N/A,N/A,N/A,N/A
Tamanho 26,26,6,0.0008653999539092183,1.1655218114882402,0.009734153747558594,1.03142683912692,N/A,N/A,N/A,N/A
Tamanho 27,27,9,0.0008692999836057425,1.0045066211049662,0.010034561157226562,1.0308611737043205,N/A,N/A,N/A,N/A
Tamanho 28,28,7,0.000930700043682009,1.070631613061336,0.0103302001953125,1.0294620794525755,N/A,N/A,N/A,N/A
Tamanho 29,29,6,0.0012332000187598169,1.3250241333191155,0.010626792907714844,1.028711225997046,N/A,N/A,N/A,N/A
Tamanho 30,30,6,0.0010367000359110534,0.8406584658939787,0.010924339294433594,1.0279996410302432,N/A,N/A,N/A,N/A
Tamanho 31,31,8,0.0011082999990321696,1.0690652654007038,0.011223793029785156,1.027411610650371,N/A,N/A,N/A,N/A
Tamanho 32,32,10,0.0012464000028558075,1.124605254844568,0.013598442077636719,1.2115727759367831,N/A,N/A,N/A,N/A
Tamanho 33,33,12,0.0013019999605603516,1.0446084383642096,0.013958930969238281,1.0265095729013254,N/A,N/A,N/A,N/A
Tamanho 34,34,10,0.0029929999727755785,2.2987711700755034,0.014315605163574219,1.0255516840882695,N/A,N/A,N/A,N/A
Tamanho 35,35,6,0.0015527000068686903,0.5187771536893078,0.014670372009277344,1.024781826660449,N/A,N/A,N/A,N/A
Tamanho 36,36,9,0.0015492999809794128,0.9978102493242502,0.015031814575195312,1.0246375869466293,N/A,N/A,N/A,N/A
Tamanho 37,37,13,0.0015309000154957175,0.9881236908864716,0.015394210815429688,1.0241086156579113,N/A,N/A,N/A,N/A
Tamanho 38,38,11,0.0016626999713480473,1.0860931181123883,0.015750885009765625,1.0231693718250527,N/A,N/A,N/A,N/A
Tamanho 39,39,15,0.0028566999826580286,1.7181091188339508,0.01611328125,1.0230079922499395,N/A,N/A,N/A,N/A
Tamanho 40,40,10,0.0023606999893672764,0.8263730891231893,0.02031230926513672,1.2605942234848484,N/A,N/A,N/A,N/A
Tamanho 41,41,10,0.0025266999728046358,1.070318119280312,0.02076244354248047,1.0221606648199446,N/A,N/A,N/A,N/A
Tamanho 42,42,11,0.0019745000172406435,0.7814540857611002,0.021213531494140625,1.0217261494648844,N/A,N/A,N/A,N/A
Tamanho 43,43,10,0.00276159995701164,1.3986325312222412,0.02166271209716797,1.021174249235749,N/A,N/A,N/A,N/A
Tamanho 44,44,12,0.0027481000288389623,0.9951115554813065,0.02211475372314453,1.0208672683248954,N/A,N/A,N/A,N/A
Tamanho 45,45,12,0.0024916999973356724,0.9066991634901966,0.02256488800048828,1.0203544784164906,N/A,N/A,N/A,N/A
Tamanho 46,46,14,0.0024501000298187137,0.9833045841949509,0.023016929626464844,1.0200329656396603,N/A,N/A,N/A,N/A
