N,Num Solucoes BT,Tempo BT (s),Mem BT (MB),Tempo Guloso Simples (s),Mem Guloso Simples (MB),Guloso Simples Valido,Tempo Guloso Restart (s),Mem Guloso Restart (MB),Guloso Restart Valido
4,2,0.00011239992454648018,0.00055694580078125,6.73000467941165e-05,0.0003204345703125,False,0.0001724000321701169,0.000518798828125,True
5,10,0.00030610000248998404,0.001434326171875,5.9999991208314896e-05,0.00032806396484375,True,0.00010079995263367891,0.0004730224609375,True
6,4,0.0008945000590756536,0.00086212158203125,8.279993198812008e-05,0.000335693359375,False,0.00023669993970543146,0.0005340576171875,True
7,40,0.004884899943135679,0.0050506591796875,9.77999297901988e-05,0.00034332275390625,False,0.00019720010459423065,0.00054168701171875,True
8,92,0.022345099947415292,0.01174163818359375,0.00011520006228238344,0.0003509521484375,False,0.000848500058054924,0.00054931640625,True
9,352,0.11788969999179244,0.04620361328125,0.00014129991177469492,0.00035858154296875,False,0.0011125999735668302,0.000579833984375,True
10,724,0.72730219992809,0.10028839111328125,0.0002894999925047159,0.0003662109375,False,0.00048010004684329033,0.0006256103515625,True
11,2680,3.9084731000475585,0.3906707763671875,0.0003333999775350094,0.00037384033203125,False,0.006634600111283362,0.00063323974609375,True
12,14200,28.3403955999529,2.1748275756835938,0.0005911999614909291,0.0003814697265625,False,0.010974999982863665,0.000640869140625,True
13,73712,187.7499247000087,11.851715087890625,0.0004743000026792288,0.00038909912109375,False,0.004000900080427527,0.00064849853515625,True
14,365596,1425.1631609000033,61.366676330566406,0.0006542999763041735,0.000396728515625,False,0.019659999990835786,0.0006561279296875,True
